,Time,Tibialis antelior,Gastrocnemius medialis
461,1.48,-0.064,-0.031
462,1.481,0.008,0.014
463,1.482,0.023,0.018
464,1.483,0.007,0.008
465,1.484,0.016,0.016
466,1.485,0.013,0.008
467,1.486,0.023,0.012
468,1.487,0.026,0.013
469,1.488,0.019,0.009
470,1.489,0.019,0.007
471,1.49,0.011,0.004
472,1.491,0.009,0.008
473,1.492,0.0,0.003
474,1.493,-0.001,0.001
475,1.494,-0.014,-0.007
476,1.495,-0.005,-0.002
477,1.496,-0.006,-0.003
478,1.497,0.0,-0.002
479,1.498,-0.036,-0.027
480,1.499,-0.095,-0.061
481,1.5,-0.05,-0.032
482,1.501,0.022,0.015
483,1.502,0.032,0.021
484,1.503,0.014,0.012
485,1.504,0.021,0.019
486,1.505,0.008,0.011
487,1.506,0.015,0.01
488,1.507,0.018,0.009
489,1.508,0.021,0.006
490,1.509,0.027,0.009
491,1.51,0.022,0.009
492,1.511,0.025,0.009
493,1.512,0.016,0.005
494,1.513,0.012,0.003
495,1.514,-0.003,-0.003
496,1.515,0.004,0.002
497,1.516,-0.002,0.0
498,1.517,-0.004,0.0
499,1.518,-0.037,-0.025
500,1.519,-0.092,-0.061
501,1.52,-0.054,-0.033
502,1.521,0.016,0.015
503,1.522,0.03,0.022
504,1.523,0.017,0.012
505,1.524,0.021,0.017
506,1.525,0.019,0.008
507,1.526,0.02,0.011
508,1.527,0.022,0.01
509,1.528,0.019,0.011
510,1.529,0.015,0.012
511,1.53,0.011,0.007
512,1.531,0.018,0.009
513,1.532,0.013,0.004
514,1.533,0.012,0.002
515,1.534,0.002,-0.003
516,1.535,0.012,0.0
517,1.536,0.015,0.0
518,1.537,0.013,-0.002
519,1.538,-0.028,-0.032
520,1.539,-0.088,-0.065
521,1.54,-0.047,-0.033
522,1.541,0.02,0.012
523,1.542,0.031,0.021
524,1.543,0.014,0.014
525,1.544,0.02,0.018
526,1.545,0.013,0.012
527,1.546,0.014,0.015
528,1.547,0.016,0.016
529,1.548,0.016,0.015
530,1.549,0.019,0.013
531,1.55,0.016,0.012
532,1.551,0.026,0.01
533,1.552,0.019,0.009
534,1.553,0.018,0.004
535,1.554,0.007,-0.002
536,1.555,0.008,0.003
537,1.556,0.001,0.0
538,1.557,-0.005,-0.003
539,1.558,-0.041,-0.03
540,1.559,-0.096,-0.062
541,1.56,-0.056,-0.034
542,1.561,0.016,0.013
543,1.562,0.029,0.02
544,1.563,0.018,0.014
545,1.564,0.022,0.02
546,1.565,0.015,0.013
547,1.566,0.018,0.015
548,1.567,0.022,0.016
549,1.568,0.024,0.017
550,1.569,0.027,0.015
551,1.57,0.027,0.014
552,1.571,0.029,0.012
553,1.572,0.023,0.006
554,1.573,0.019,0.002
555,1.574,0.005,-0.009
556,1.575,0.009,-0.002
557,1.576,0.008,-0.006
558,1.577,0.0,-0.007
559,1.578,-0.041,-0.034
560,1.579,-0.099,-0.068
561,1.58,-0.061,-0.034
562,1.581,0.011,0.01
563,1.582,0.022,0.019
564,1.583,0.011,0.013
565,1.584,0.016,0.015
566,1.585,0.014,0.009
567,1.586,0.019,0.011
568,1.587,0.027,0.007
569,1.588,0.026,0.008
570,1.589,0.026,0.008
571,1.59,0.019,0.008
572,1.591,0.018,0.012
573,1.592,0.007,0.008
574,1.593,0.005,0.005
575,1.594,-0.009,-0.001
576,1.595,-0.006,0.002
577,1.596,-0.006,0.0
578,1.597,-0.006,-0.005
579,1.598,-0.044,-0.037
580,1.599,-0.095,-0.073
581,1.6,-0.048,-0.046
582,2.48,-0.057,-0.02
583,2.481,0.01,0.02
584,2.482,0.02,0.021
585,2.483,0.008,0.017
586,2.484,0.018,0.022
587,2.485,0.012,0.012
588,2.486,0.021,0.016
589,2.487,0.021,0.014
590,2.488,0.021,0.015
591,2.489,0.015,0.012
592,2.49,0.013,0.013
593,2.491,0.008,0.011
594,2.492,0.004,0.005
595,2.493,0.0,0.002
596,2.494,-0.008,-0.001
597,2.495,-0.005,0.001
598,2.496,-0.008,-0.001
599,2.497,-0.003,-0.002
600,2.498,-0.046,-0.037
601,2.499,-0.085,-0.064
602,2.5,-0.025,-0.023
603,2.501,0.045,0.019
604,2.502,0.05,0.02
605,2.503,0.043,0.013
606,2.504,0.049,0.016
607,2.505,0.027,0.01
608,2.506,0.024,0.014
609,2.507,0.025,0.009
